pipeline,identifier_type,identifier,eid,pid,probe_name,request_kind,object_or_dataset,collection,required,purpose
opto_behavior,eid,2b920090-8256-4a13-9923-a4b57952faa7,2b920090-8256-4a13-9923-a4b57952faa7,,,alf_object,wheel,ONE-resolved ALF collection,true,Wheel timestamps and position
opto_behavior,eid,2b920090-8256-4a13-9923-a4b57952faa7,2b920090-8256-4a13-9923-a4b57952faa7,,,dataset,_ibl_laserStimulation.intervals.npy,ONE-resolved,true,Optogenetic trial timing
opto_behavior,eid,2b920090-8256-4a13-9923-a4b57952faa7,2b920090-8256-4a13-9923-a4b57952faa7,,,dataset_pattern,_iblrig_taskData.raw*,raw_behavior_data,false,Legacy fallback for optogenetic trial identification
opto_behavior,eid,2b9ccc2d-aa2a-43bd-8a3c-5844e84c3db2,2b9ccc2d-aa2a-43bd-8a3c-5844e84c3db2,,,alf_object,trials,ONE-resolved ALF collection,true,"Choices, contrasts, block probability, event times, feedback"
opto_behavior,eid,2b9ccc2d-aa2a-43bd-8a3c-5844e84c3db2,2b9ccc2d-aa2a-43bd-8a3c-5844e84c3db2,,,alf_object,wheel,ONE-resolved ALF collection,true,Wheel timestamps and position
opto_behavior,eid,2b9ccc2d-aa2a-43bd-8a3c-5844e84c3db2,2b9ccc2d-aa2a-43bd-8a3c-5844e84c3db2,,,dataset,_ibl_laserStimulation.intervals.npy,ONE-resolved,true,Optogenetic trial timing
opto_behavior,eid,2b9ccc2d-aa2a-43bd-8a3c-5844e84c3db2,2b9ccc2d-aa2a-43bd-8a3c-5844e84c3db2,,,dataset_pattern,_iblrig_taskData.raw*,raw_behavior_data,false,Legacy fallback for optogenetic trial identification
opto_behavior,eid,2bbae950-9555-43d0-9891-03e47f18b286,2bbae950-9555-43d0-9891-03e47f18b286,,,alf_object,trials,ONE-resolved ALF collection,true,"Choices, contrasts, block probability, event times, feedback"
opto_behavior,eid,2bbae950-9555-43d0-9891-03e47f18b286,2bbae950-9555-43d0-9891-03e47f18b286,,,alf_object,wheel,ONE-resolved ALF collection,true,Wheel timestamps and position
opto_behavior,eid,2bbae950-9555-43d0-9891-03e47f18b286,2bbae950-9555-43d0-9891-03e47f18b286,,,dataset,_ibl_laserStimulation.intervals.npy,ONE-resolved,true,Optogenetic trial timing
opto_behavior,eid,2bbae950-9555-43d0-9891-03e47f18b286,2bbae950-9555-43d0-9891-03e47f18b286,,,dataset_pattern,_iblrig_taskData.raw*,raw_behavior_data,false,Legacy fallback for optogenetic trial identification
opto_behavior,eid,2bde1da6-cd71-4cda-a8d1-46cf7c4fe13d,2bde1da6-cd71-4cda-a8d1-46cf7c4fe13d,,,alf_object,trials,ONE-resolved ALF collection,true,"Choices, contrasts, block probability, event times, feedback"
opto_behavior,eid,2bde1da6-cd71-4cda-a8d1-46cf7c4fe13d,2bde1da6-cd71-4cda-a8d1-46cf7c4fe13d,,,alf_object,wheel,ONE-resolved ALF collection,true,Wheel timestamps and position
opto_behavior,eid,2bde1da6-cd71-4cda-a8d1-46cf7c4fe13d,2bde1da6-cd71-4cda-a8d1-46cf7c4fe13d,,,dataset,_ibl_laserStimulation.intervals.npy,ONE-resolved,true,Optogenetic trial timing
opto_behavior,eid,2bde1da6-cd71-4cda-a8d1-46cf7c4fe13d,2bde1da6-cd71-4cda-a8d1-46cf7c4fe13d,,,dataset_pattern,_iblrig_taskData.raw*,raw_behavior_data,false,Legacy fallback for optogenetic trial identification
opto_behavior,eid,2c4da1b0-05fc-4c58-8811-d5f2508a9581,2c4da1b0-05fc-4c58-8811-d5f2508a9581,,,alf_object,trials,ONE-resolved ALF collection,true,"Choices, contrasts, block probability, event times, feedback"
opto_behavior,eid,2c4da1b0-05fc-4c58-8811-d5f2508a9581,2c4da1b0-05fc-4c58-8811-d5f2508a9581,,,alf_object,wheel,ONE-resolved ALF collection,true,Wheel timestamps and position
opto_behavior,eid,2c4da1b0-05fc-4c58-8811-d5f2508a9581,2c4da1b0-05fc-4c58-8811-d5f2508a9581,,,dataset,_ibl_laserStimulation.intervals.npy,ONE-resolved,true,Optogenetic trial timing
opto_behavior,eid,2c4da1b0-05fc-4c58-8811-d5f2508a9581,2c4da1b0-05fc-4c58-8811-d5f2508a9581,,,dataset_pattern,_iblrig_taskData.raw*,raw_behavior_data,false,Legacy fallback for optogenetic trial identification
opto_behavior,eid,2c599f47-5f22-4a89-9b9d-a4be933bd46e,2c599f47-5f22-4a89-9b9d-a4be933bd46e,,,alf_object,trials,ONE-resolved ALF collection,true,"Choices, contrasts, block probability, event times, feedback"
opto_behavior,eid,2c599f47-5f22-4a89-9b9d-a4be933bd46e,2c599f47-5f22-4a89-9b9d-a4be933bd46e,,,alf_object,wheel,ONE-resolved ALF collection,true,Wheel timestamps and position
opto_behavior,eid,2c599f47-5f22-4a89-9b9d-a4be933bd46e,2c599f47-5f22-4a89-9b9d-a4be933bd46e,,,dataset,_ibl_laserStimulation.intervals.npy,ONE-resolved,true,Optogenetic trial timing
opto_behavior,eid,2c599f47-5f22-4a89-9b9d-a4be933bd46e,2c599f47-5f22-4a89-9b9d-a4be933bd46e,,,dataset_pattern,_iblrig_taskData.raw*,raw_behavior_data,false,Legacy fallback for optogenetic trial identification
opto_behavior,eid,2cb4353f-ff13-4661-b1c5-aaf892ba47cb,2cb4353f-ff13-4661-b1c5-aaf892ba47cb,,,alf_object,trials,ONE-resolved ALF collection,true,"Choices, contrasts, block probability, event times, feedback"
