identifier_type,identifier,pipelines,figure_profiles,metadata_rows,mouse,eid,pid,probe_name
pid,bfa8f605-2eda-4b31-80fb-4a889fa0e22a,ephys_bs,supp1_optogenetic_validation,1,,bdf39bda-e09a-4905-92ce-1063881f6703,bfa8f605-2eda-4b31-80fb-4a889fa0e22a,probe01
pid,c2f05bd0-bd6e-4d9c-8c34-aeb086f77045,ephys_bs,supp1_optogenetic_validation,1,,8ca87c63-8ae8-4b27-9e77-acad311106e9,c2f05bd0-bd6e-4d9c-8c34-aeb086f77045,probe00
pid,c4051389-6e82-4c48-9116-fc5be6ebace9,ephys_bs,,1,SWC_NM_024,7f869985-4779-4e07-9e89-4f31267dd5e8,c4051389-6e82-4c48-9116-fc5be6ebace9,probe01
pid,c547dda9-2006-4e4d-9498-396aac25d54b,ephys_bs,,1,SWC_NM_024,77268c3c-7879-4a7a-b83c-97e17293613a,c547dda9-2006-4e4d-9498-396aac25d54b,probe01
pid,c6ce3c19-6037-412b-ba92-f5dff157aeba,ephys_bs,,1,SWC_NM_111,2cb4353f-ff13-4661-b1c5-aaf892ba47cb,c6ce3c19-6037-412b-ba92-f5dff157aeba,probe01
pid,c7a7990a-fb2f-4329-99bc-5a85765969d6,ephys_bs,,1,SWC_NM_111,595bbca6-95c4-48cb-8269-cac460b9e3b0,c7a7990a-fb2f-4329-99bc-5a85765969d6,probe01
pid,c9a6b866-2d9b-481c-86ec-0d4937fbd696,ephys_bs,figure2_snr_bs_no_glmhmm,1,SWC_NM_102,0c6f91a6-f3d0-40eb-af28-f26e8369c599,c9a6b866-2d9b-481c-86ec-0d4937fbd696,probe01
pid,caf25d31-2d5b-45a9-85b4-585e380ebab2,ephys_bs,,1,SWC_NM_096,d2a43b28-bf31-42b5-b472-d977b67d79a6,caf25d31-2d5b-45a9-85b4-585e380ebab2,probe00
pid,ccfb329e-c3b0-43be-9710-5d7c8ee968d2,ephys_bs,supp1_optogenetic_validation,1,,a1902c51-f1b3-4388-a984-c612b139a364,ccfb329e-c3b0-43be-9710-5d7c8ee968d2,probe00
pid,d082c08d-2c7e-4761-9936-8bbefa8068d1,ephys_bs,,1,SWC_NM_024,7f869985-4779-4e07-9e89-4f31267dd5e8,d082c08d-2c7e-4761-9936-8bbefa8068d1,probe00
pid,dcd1c7d3-b413-47dc-a120-c3cafbbbbd96,ephys_bs,,1,SWC_NM_026,091f5721-72f4-4f73-a4ed-037d86040778,dcd1c7d3-b413-47dc-a120-c3cafbbbbd96,probe01
pid,e1b4c254-0455-4cd3-9642-0e23892aef85,ephys_bs,figure2_snr_bs_no_glmhmm,1,SWC_NM_113,3b2314e9-d3c4-4fc3-be3d-544635f360db,e1b4c254-0455-4cd3-9642-0e23892aef85,probe01
pid,e44cb3ae-d436-4149-9110-415a276fb58e,ephys_bs,supp1_optogenetic_validation,1,,9faf1826-6efd-47c0-a822-9a24b7f7821b,e44cb3ae-d436-4149-9110-415a276fb58e,probe01
pid,e4696ffd-248e-41cb-a62a-16e320b8cd7e,ephys_bs,figure2_snr_bs_no_glmhmm,1,SWC_NM_018,786b0feb-31a8-4598-a51d-7f13ffb936d1,e4696ffd-248e-41cb-a62a-16e320b8cd7e,probe01
pid,e4e69307-ff03-492e-a738-e742d47a092a,ephys_bs,,1,SWC_NM_111,976077e3-132f-4f41-8b36-e289a6c9b59d,e4e69307-ff03-492e-a738-e742d47a092a,probe01
pid,e71a89e5-9526-4be3-a5e7-5f9af217927d,ephys_bs,,1,SWC_NM_111,595bbca6-95c4-48cb-8269-cac460b9e3b0,e71a89e5-9526-4be3-a5e7-5f9af217927d,probe00
pid,e7919a12-238d-44da-b9d7-37adf5fff9ba,ephys_bs,,1,SWC_NM_111,d2283217-d659-4b45-a08a-e86556b65547,e7919a12-238d-44da-b9d7-37adf5fff9ba,probe01
pid,e91b783b-ec23-4963-9cc0-601c4d093d0f,ephys_bs,supp1_optogenetic_validation,1,,c1aa1b68-72a0-444c-ba39-e14a5b6fadb8,e91b783b-ec23-4963-9cc0-601c4d093d0f,probe00
pid,f54b959b-fee4-4130-951e-e366d34a5cbc,ephys_bs,,1,SWC_NM_022,561bf4c6-4efe-4820-a2aa-6552305495a0,f54b959b-fee4-4130-951e-e366d34a5cbc,probe00
pid,fc4f446b-177c-4b94-89d2-14c0500374a4,ephys_bs,figure2_snr_bs_no_glmhmm,1,SWC_NM_102,6b528511-4da3-4d31-888e-0299397bdbdb,fc4f446b-177c-4b94-89d2-14c0500374a4,probe01
